id_column,Tweet,label Matt,Label Elena
0,Can Daniel take me to prom ? ❤️,love%1:12:00::,love%1:12:00::
1,❤️ I am so excited that Small Doses is coming back ! Thank you for being who you are . ,interest%1:09:00::,interest%1:09:00::
2,"Happy birthday angel !!! I hope youre having the best day , I love you ❤️",love%1:12:00::,love%1:12:00::
3,It was a pleasure being reminded how terrible of a mother I am . ❤️,love%1:12:00::,love%1:12:00::
4,Really sang till his voice went out last night . ❤️ Such a great show . ,appreciation%1:10:00::,appreciation%1:10:00::
5,Truly lovely to see you recently . Thank you ! ❤️,care%2:37:02::,appreciation%1:10:00::
6,Yo when do I get that follow ? Lol . No pressure love you . ❤️,love%1:12:00::,love%1:12:00::
7,The pain that youve been feeling cant compare to the joy thats coming . ❤️,heart%1:07:01::,heart%1:07:01::
8,"We use Pinky Promise as a genuine foundation of faith , hope and trust . ❤️",appreciation%1:10:00::,love%1:12:00::
9,My boyfriend made me felt so good about myself . ❤️,love%1:12:00::,love%1:12:00::
10,Pray for Nicki . ❤️,care%2:37:02::,care%2:37:02::
11,Can dogs speak in different languages like we do ? I love you ! ❤️,interest%1:09:00::,love%1:12:00::
12,"How are you guys ? Also, I love you . ❤️",love%1:12:00::,love%1:12:00::
13,Song youre most excited to perfom from 8 letters ? ! ❤️,interest%1:09:00::,interest%1:09:00::
14,Which country among the Asia was the most memorable ? ❤️,interest%1:09:00::,interest%1:09:00::
15,How do you guys get use to the time changes so quickly ? Ps I love you . ❤️ ,love%1:12:00::,love%1:12:00::
16,We are ready and looking forward to welcoming you all tomorrow . Miss Clark and Mrs Johnston . ❤️,appreciation%1:10:00::,love%1:12:00::
17,Retweet If You Want To See Me Take Some Bbc or Like . ❤️ If You Want To See Me Take Some Fat White Dick anal . ,NONE,interest%1:09:00::
18,❤️ You draw to you the people and events which resonate with the energy that you are radiating . ,heart%1:07:01::,heart%1:07:01::
19,❤️ ( at WOK and ROLL in Al Farwaniyah Governorate ),appreciation%1:10:00::,appreciation%1:10:00::
20,❤️ My boat rides in the harbour you can see the TD green in the water . ,love%1:12:00::,love%1:12:00::
21,❤️ My colleague who cant wait to get her kids using wcsd heros . ,appreciation%1:10:00::,appreciation%1:10:00::
22,❤️ Release what no longer serves you . fears doubts release negative,heart%1:07:01::,heart%1:07:01::
23,5 Second give away win a random account . ❤️ ,interest%1:09:00::,interest%1:09:00::
24,A year ago today took me to try frostbites for the first time . ❤️,love%1:12:00::,love%1:12:00::
25,Abigayle is the best thing that has happened to me . ❤️,love%1:12:00::,love%1:12:00::
26,"Also toured Charlottesville , VA with our kids . ❤️ Family travels Virginia . ",love%1:12:00::,love%1:12:00::
27,Amanda Palmer . The Killing Type via I forgot about this one . ❤️,nostalgia%1:12:00::,nostalgia%1:12:00::
28,Blackmade Branded shirts will be out soon . How many like and RT can I get . Lets grow together . ❤️,interest%1:09:00::,interest%1:09:00::
29,Blessings on blessings thanking the lord for another day im glad im here . ❤️ Rest easy to those who didnt get to . ,heart%1:07:01::,heart%1:07:01::
30,Boys locker room talk in Espoo where to get the best quality crayfish and for what price . ❤️,interest%1:09:00::,interest%1:09:00::
31,Breast cancer awareness month should be a daily consideration . Stay safe . Stay well . ❤️,care%2:37:02::,care%2:37:02::
32,"Burgers , hot dogs , chips and dip for lunch as an employee appreciation . ❤️",appreciation%1:10:00::,appreciation%1:10:00::
33,Cant wait to spoil my lil baby this winter . ❤️,love%1:12:00::,love%1:12:00::
34,Commission for a lovely soul .❤️ Commission requests open copic markers space stuff trippy art . ,interest%1:09:00::,interest%1:09:00::
35,Congratulations to Abg Chaer and wife .❤️ ,love%1:12:00::,love%1:12:00::
36,Dear Will be a anniversary with my Husband . Can we get a tweet from you ? Itd mean the world . ,appreciation%1:10:00::,appreciation%1:10:00::
37,Did you guys think you guys were going to make it this far ? Btw I love you . ❤️ ,love%1:12:00::,love%1:12:00::
38,Dinner ❤️ I absolutely love caprese ! Who else ? ,appreciation%1:10:00::,appreciation%1:10:00::
39,dm always open for new friendships ❤️ ( closed for too friendly or flirty niggas though ) ,interest%1:09:00::,interest%1:09:00::
