id_column,Tweet,Matt label,Elena label
0,"oh dear oh dear , looks like most share your opinion . 😊 ",friendliness%1:07:00::,supercilious%3:00:00:proud:00
1,Are you enjoying Argentina so far ? I hope so . 😊,favorableness%1:07:00::,warmheartedness%1:12:01::
2,"can you bring Lydia back for season 2 ? She was such an amazing character . And Jess Harmon is phenomenal , as you know . 😊",warmheartedness%1:12:01::,warmheartedness%1:12:01::
3,Hi guys ! Just wondering if you know how much longer the 18.15 M8 from Glasgow to Dundee will be ? 😊,friendliness%1:07:00::,friendliness%1:07:00::
4,"Hi . I would like to sign up , can you send me a username and password please . 😊",gratefulness%1:12:00::,friendliness%1:07:00::
5,I cant wait for the game . 😊 Any chance some new info about Stellaris : Console Edition comes out soon ?,happiness%1:26:00::,happiness%1:26:00::
6,looking to get another Labrador . Which one shall I get ? They are all too cute though . 😊 ,warmheartedness%1:12:01::,warmheartedness%1:12:01::
7,St Lucia booked for 10 nights . 1085 in total 😊 transfers included for November .,happiness%1:26:00::,happiness%1:26:00::
8,"thanks for retweeting , hope youre enjoying your day Paul . 😊",gratefulness%1:12:00::,warmheartedness%1:12:01::
9,thanks for using the curve card got me fiver buys me dinner . 😊,gratefulness%1:12:00::,gratefulness%1:12:00::
10,What a song ! ! I think anyone can relate ... Really proud of you . 😊,warmheartedness%1:12:01::,warmheartedness%1:12:01::
11,You do realise that the tieren habe kein ahnung ? They are tieren after all ! 😊,supercilious%3:00:00:proud:00,supercilious%3:00:00:proud:00
12,"What current tv shows do you want to guest staron the most , Gracie ? Just curious is all . 😊",friendliness%1:07:00::,friendliness%1:07:00::
13," What current tv shows do you want to guest staron the most , Melia? Just curious is all . 😊",friendliness%1:07:00::,friendliness%1:07:00::
14,Has got a lot of good info and news 😊 check them out!,favorableness%1:07:00::,friendliness%1:07:00::
15,Hey how are you ? 😊,friendliness%1:07:00::,friendliness%1:07:00::
16,me be positive 😊,happiness%1:26:00::,happiness%1:26:00::
17,Write down 4 key words from todays lesson and say how they are connected. Saw this awhile back but not sure from where who 😊 biology,happiness%1:26:00::,happiness%1:26:00::
18,price decreased ! buying 7264.25 and Selling 7264.25 . 😊,friendliness%1:07:00::,friendliness%1:07:00::
19,fun photoshoot with sheller152 and thank you for having me. 😊 ,gratefulness%1:12:00::,gratefulness%1:12:00::
20,GeethaGovindham Very Nice & Clean Family Ever Watched In Recent Times . 😊  ,warmheartedness%1:12:01::,warmheartedness%1:12:01::
21,Happy Labor Day ! We hope you and your family have a safe and relaxing holiday ! 😊 ,favorableness%1:07:00::,favorableness%1:07:00::
22,😊 I really just love seeing people smile or laugh or just be proper happy . Lol . Warms my heart .,happiness%1:26:00::,happiness%1:26:00::
23,1801 Associates working hard this weekend taking care of our customers . We appreciate you ! ! ! 😊 ,gratefulness%1:12:00::,gratefulness%1:12:00::
24,"A day of eating frogs and invoicing ... one counterbalances the other , so its a good thing I had a great August ! 😊 ",happiness%1:26:00::,gratefulness%1:12:00::
25,A DM with a sugar daddy . I dedicate this for my good friend that told him lovely . 😊 ,friendliness%1:07:00::,friendliness%1:07:00::
26,"A stiff jab , straight right hand .  😊 ",happiness%1:26:00::,supercilious%3:00:00:proud:00
27,Almost 7 lbs down in less than a week . Im super excited . 😊,happiness%1:26:00::,happiness%1:26:00::
28,Always Nice To See Those Bright Smiles On Kids Faces On Their First Day Back Out To School . 😊,gratification%1:26:00::,happiness%1:26:00::
29,Ayyy dan dont talk to me shirt arrived 😊,happiness%1:26:00::,happiness%1:26:00::
30,Back from my first day at work . 😊 It was pretty good but I am so overwhelmed .,gratification%1:26:00::,happiness%1:26:00::
31,Beautiful cover . 😊 Cant Help Falling In Love by Daniel Jang . ,happiness%1:26:00::,favorableness%1:07:00::
32,Before I started looking like trash . 😊 snapchats filter blue hair pink hair smile bitch straight hair styles . ,warmheartedness%1:12:01::,happiness%1:26:00::
33,Being single has its pro and cons but I love it . 😊,happiness%1:26:00::,happiness%1:26:00::
34,Bessy wants to wish you all a Happy Labor Day ! 😊 Hope your day is full of relaxing with friends and family ! ,favorableness%1:07:00::,warmheartedness%1:12:01::
35,Bought my ticket to Puerto Rico in October ! 7 day cruise . 😊,happiness%1:26:00::,happiness%1:26:00::
36,Can I beat ya little back in ... as friends though 😊,friendliness%1:07:00::,friendliness%1:07:00::
37,"Can you reply to this with a selfie ? Id love to know what you look like 😊 no, youd hate it . ",friendliness%1:07:00::,friendliness%1:07:00::
38,Complete Your Dinner and Join Back to the Trend . 😊 ,happiness%1:26:00::,friendliness%1:07:00::
39,Could anyone help me to find an apartment to rent in Prague please ? 😊,friendliness%1:07:00::,friendliness%1:07:00::
